x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79
1.6536716,-1.4364899,1.1913791,0.81762797,-0.57625943,0.62811387,2.076769,-0.94669557,-0.42355344,-0.5956772,-2.1141193,-0.39669135,2.7845018,-0.30462885,0.35445628,2.1094358,0.1118349,-1.6029036,-0.66570973,0.31086227,1.4133176,-0.5912065,1.5342177,-0.6589851,-0.26196823,-1.1684028,-2.0811563,0.870072,0.04099898,-0.26228988,-2.0540812,1.4922363,0.61694986,-0.86432594,-0.81006557,1.3547482,0.017802898,0.40081596,-0.11512706,-2.461133,-0.11968699,1.3046845,-2.2975118,0.45882317,0.99960786,-1.1165771,-1.4402319,-0.3493398,0.2960976,0.30028448,-1.6623312,1.1526768,1.4249159,-0.9032251,1.6124643,-0.5697863,-1.5783108,0.57900226,-0.4965487,-0.5184322,0.4643289,-0.4144923,-1.22521,0.034585383,-1.3787193,0.097993545,-0.27147317,0.5647855,1.1315536,1.2236575,0.9303378,-1.0270844,-0.153577,0.55705196,-0.38579637,-1.1278902,0.5054247,-0.63759124,-2.1467984,0.11838756
-0.76308286,-0.51110315,-0.41797754,2.8937235,-0.30610138,-1.2052006,2.6758435,-1.2753214,0.95234424,1.1504089,-1.712871,-0.2376182,1.9697134,-1.7480196,1.2489692,0.574326,-1.9041942,0.23358886,0.15272304,0.79590315,0.5843097,-0.2217455,3.1233678,-0.988665,-0.4610401,-0.35690394,-2.88411,1.3127459,0.32078576,0.21651036,-0.48675138,0.6100949,1.588105,0.07521157,-0.14618942,2.454023,-0.95568156,2.2158182,0.28814802,-0.4458261,0.2509105,1.1462458,-2.13603,0.3621755,1.0727178,-0.09674305,-0.52899724,-1.3533993,0.041066997,0.7586958,-1.7383972,0.85555696,-0.32866445,0.5721189,0.7766798,0.46630687,-1.1654816,0.19916955,-1.3629212,0.6735801,2.0139685,-1.1291438,-1.7753345,-0.24698216,-1.0822744,-0.23403727,-1.6634258,0.19300333,1.1328696,1.8611934,0.383882,0.13413273,-1.1211611,0.54221857,0.73117685,-0.5829882,1.4103187,-1.5993966,-0.77128065,-0.0033587203
-0.9601378,-0.95824724,-1.9740952,2.6616008,1.3580769,-0.2307088,2.8939173,1.0435122,1.1613522,0.048444506,-1.1943426,0.018164644,1.2710172,-0.99001884,-0.1874046,-0.26761618,-0.53344774,-0.030978462,-1.4951764,1.1695981,1.7142894,-0.932227,2.0382786,-2.1771095,-1.8971932,0.7528644,-1.9937423,1.3895102,0.4588011,1.0994507,-0.5027358,0.14653166,1.751776,0.35868418,-1.1794791,1.8035508,-0.2477148,1.1333095,1.4693756,-0.55140716,-0.11357427,1.0963901,-0.7662811,1.139112,-0.044388607,-0.55516714,-1.0349993,-0.530424,-0.14617024,-0.10987254,-1.971702,0.4638752,-0.57151246,0.4391658,1.821756,0.16961776,-0.50387186,0.5464505,-1.0170784,1.0618519,1.6600593,-1.0624535,-0.5739401,-0.35210153,-1.46593,-0.85725814,-1.1324441,-0.013564443,1.4417832,1.1245338,0.32353213,0.057067018,-0.22192216,0.11187042,0.59415954,-0.38802123,1.0687606,-1.3389324,-0.5690877,-0.12297427
-0.6563315,-0.22637302,0.48324138,1.6744368,0.55961794,-0.1508294,1.6388721,0.21524343,-0.41201255,-0.5916093,-0.8141436,-0.5823205,0.765517,-0.5602183,0.4781453,1.5252674,-0.43730044,-0.5940312,-0.31404373,1.7994404,1.3515668,-0.4442955,1.9212772,-0.9438272,0.6258975,0.3145099,-0.4406884,-0.18934277,-0.11280322,-0.38434786,-0.24119791,0.7989959,0.044792153,-0.7837683,0.19315794,2.0096,-0.306116,0.815857,1.5533997,-0.6506911,-0.10925257,0.5212081,-0.9052802,-0.24276182,0.40533614,-1.4010497,-0.36919755,0.53843546,-0.5158104,0.095235184,-1.1485053,1.9454799,0.4966525,0.6883813,1.0267245,-0.279681,-0.23773451,0.5329992,-0.21866223,-0.118711814,0.010466245,-2.0034773,-0.70695287,0.045878902,-0.33099526,-0.5633838,-0.21728712,1.4318849,0.75300485,0.8368315,1.8762484,-0.49305668,-0.22690903,0.16551681,-0.2938892,-0.65607727,0.12723595,-2.1162884,-0.18320712,0.32806054
-1.1986833,0.44327968,0.7273956,2.2242856,1.3355694,1.2184482,2.3842883,-0.0970934,-0.27694568,0.30383238,-1.6612532,-2.7075791,-0.74419814,1.5037216,0.16229606,0.46721306,0.37427998,-0.59938145,-2.099491,2.55473,1.8702767,-0.46104035,1.0620236,-0.61513007,1.3492162,-1.4681923,0.47468004,0.42805946,1.4481109,-1.8042418,-0.17952763,0.99741197,-1.9544935,0.3108802,-0.48685673,1.507986,0.87689936,-0.7340345,2.324357,-0.89136875,-0.4088323,1.2401999,0.07424486,0.6263465,0.73761195,-2.26351,0.43356928,0.84515864,-1.1070976,-0.92751724,-1.481165,2.0220487,-0.7548162,-0.47632286,1.9448559,-0.3288335,1.7790406,0.62255734,0.16480145,-0.05511432,-1.0716637,-1.3031019,0.437033,-0.11815703,-0.45595655,0.5830387,-1.2402421,1.5228103,-0.3329609,-0.6500613,1.6604809,-0.9256013,1.1029054,-0.88413763,0.8876215,-0.30599642,0.9932786,-1.8995888,-0.14891018,-0.14269462
-0.7598066,-2.127598,1.7429364,0.8267778,1.0901134,-0.2740787,1.373947,-0.47888315,-2.3304615,-2.2361584,0.5307238,-0.8974717,-0.51569384,-2.0573335,-0.6443738,1.2397226,-1.885333,-0.07196233,-0.5570587,0.7408865,1.39462,-0.2200838,3.819426,0.85158324,1.498681,-1.3808867,1.7098429,0.22845887,0.3031807,0.48681015,0.5904218,1.5704083,-0.5402602,-1.360184,-1.0202515,1.7813237,0.2666995,0.41563457,1.8403612,-1.9576033,0.7951644,-1.1762221,0.17597522,1.2112334,-1.0658605,-2.2596323,0.8508433,1.0244757,-0.89044696,-0.9291158,0.43200153,2.2522185,-1.2773764,-0.74888855,1.3657448,-0.6679307,0.34811613,-0.47735533,1.1675931,0.38169694,-0.22580853,-2.7409527,-0.839068,-0.24451724,0.09840971,-1.0257996,0.0590852,1.2028666,-0.23126568,-0.041885253,2.980469,-0.9750555,1.1311933,0.32039967,1.3656391,-0.4684007,0.4070749,-0.5232195,-0.16904175,1.5291383
1.6522123,-0.79957557,1.0036544,1.7565284,0.39945492,0.5399565,2.9731276,-0.21546684,0.64441484,-1.4365336,-0.5354415,-1.2943417,1.3191324,0.5034338,2.7631943,1.215913,0.5343395,-0.49150115,0.63269365,2.5376182,2.3337846,-0.5025675,2.0140522,-0.56456274,-0.56493497,0.5371116,1.4061769,-0.78528523,-1.3829114,-0.19225301,1.5295179,-0.4080882,-0.32223237,-1.7845101,0.22037065,2.6415179,0.89167166,0.37943605,2.231117,0.8893046,0.4627231,-0.70786005,-0.43789348,-0.3674918,-0.32892933,0.38905278,0.04217819,0.52710205,-0.5594407,-0.28051865,0.39056423,2.1844473,1.4622861,1.0319991,0.29862678,-0.55611026,-0.1950353,0.9021715,0.11403398,0.20291339,0.51438475,-0.8899505,0.7917151,-1.3968042,1.4638771,-0.85713774,0.0499712,1.030164,1.9651395,-0.3205829,1.3127531,0.12813656,-0.24733627,0.001551599,-0.63333166,0.16458169,-0.044158835,-1.4182141,0.55566776,-0.68801427
-0.56116515,0.049195804,0.9122336,2.0935411,0.8269629,0.28539124,1.868893,0.36161005,-0.53451633,-1.1034129,-1.1316494,-0.6207101,0.606025,-0.8705955,0.24444789,1.3629794,-0.08597697,0.68957055,0.50168616,2.2326612,1.9239117,-0.35268018,1.3076146,-2.1234899,2.229616,1.2641212,-2.0318434,-0.43975687,0.74142027,1.6879357,0.92727363,0.9189679,1.6321247,-1.0677034,0.2317292,0.80630076,-2.5409486,0.09989773,2.4708943,-0.5279781,0.7356086,1.9001727,-0.114455566,-0.73552716,1.1884634,-2.5697088,-0.69819456,-0.89424956,-1.5087781,-1.6093062,-0.6306838,2.0025887,0.14652228,0.44304836,0.10356924,1.7134926,-0.6012773,-0.8325143,-1.5250169,-0.73613316,-1.4279058,-3.2630448,-0.6601257,-1.3955505,-0.18085712,0.7374213,-0.84287447,-0.37852824,-0.13523135,1.6048566,2.4955232,0.33697855,-0.2624698,1.7199386,0.07988094,-0.20926103,-0.30638108,-3.9325628,1.8465247,-0.6769968
-0.95603305,-2.349388,0.96155983,1.8114185,-0.15811339,-0.40326786,3.3021457,0.74333155,-0.28132403,-1.873749,-1.2321526,0.5841193,0.9435743,1.4284691,0.22694142,0.1693935,0.7135135,0.5890348,-1.4491578,1.7424058,2.1436863,-0.8809145,2.6018136,-0.3314704,0.2560222,-1.8129512,0.34677082,1.2212598,-0.35726768,-0.7167198,-0.026913567,-0.93154114,-0.44465473,-0.9633751,0.82837087,1.5805727,1.003844,0.32543197,1.4539013,-1.585074,-0.0978678,0.99126,-1.747999,0.3560993,-0.027968753,0.22829601,1.1486553,-1.2202679,0.11467054,0.5223491,-0.57664174,2.1824057,-0.04712824,-0.96541196,1.7221277,-1.3229272,0.5056908,0.24512263,-0.32273751,-0.36406213,0.52069795,-0.6104452,0.35034317,-0.9307048,-0.541605,0.96653235,-0.39920533,0.63755614,1.8098552,-0.99628264,1.6280677,-0.48506784,-0.37025303,-0.02453997,0.71332085,-0.8019134,0.5559537,-0.983319,-0.7729754,0.034532834
0.61499524,1.0853084,-0.25830433,2.4064553,0.09722404,-1.407258,1.6822164,2.0592508,-1.3977771,-0.20114318,-1.7172419,-0.8654705,0.020860225,-1.2820022,-0.11413867,0.30854294,-1.7782582,0.16332486,-1.6380849,1.0544384,0.27443245,-1.2239459,1.485309,-1.7498624,1.2820727,-0.04774746,-0.5794924,0.6724798,1.0983182,0.5658679,-0.39516824,2.4728992,-1.8302757,-1.4300534,1.4027683,1.1861628,-0.22870198,-0.46868744,0.8019562,-0.5362562,-1.3713585,0.3781522,-1.4409778,-1.1160532,0.21561709,-1.85113,1.1150707,0.7714351,-0.3439279,0.40023768,0.30961752,2.529433,0.32218167,-0.5046348,1.0160908,0.73659736,0.79492694,1.8695441,-0.056178804,-1.2566603,-1.0389168,-1.7233112,0.9370569,0.6674006,-0.020943595,-1.4770669,-1.0056252,1.4722297,0.864509,-0.26476124,2.3165395,-0.7462371,0.09923608,-1.2944211,0.2216131,-1.7679504,-1.2989131,-0.42878535,-0.01939247,0.49891028
